Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[beomi/KoAlpaca-v1.1a] 21155개 예제
[nlpai-lab/kullm-v2] 152630개 예제
train 167505 / val 1691 예제
베이스 모델: checkpoints/base_1b/latest.pt (step 23999)
총 5234 steps (2 epochs)
SFT 전 val loss (베이스 모델): 1.3236
epoch 0 step 1770/5234 | loss 1.2793 | lr 1.55e-05 | 6594s
epoch 0 step 1780/5234 | loss 1.3571 | lr 1.55e-05 | 6631s
epoch 0 step 1790/5234 | loss 1.3992 | lr 1.54e-05 | 6666s
epoch 0 step 1800/5234 | loss 1.2578 | lr 1.54e-05 | 6703s
epoch 0 step 1810/5234 | loss 1.3062 | lr 1.53e-05 | 6740s
epoch 0 step 1820/5234 | loss 1.3708 | lr 1.53e-05 | 6776s
epoch 0 step 1830/5234 | loss 1.0474 | lr 1.53e-05 | 6813s
epoch 0 step 1840/5234 | loss 1.2435 | lr 1.52e-05 | 6850s
epoch 0 step 1850/5234 | loss 1.4148 | lr 1.52e-05 | 6886s
epoch 0 step 1860/5234 | loss 1.2937 | lr 1.51e-05 | 6922s
epoch 0 step 1870/5234 | loss 1.2129 | lr 1.51e-05 | 6960s
epoch 0 step 1880/5234 | loss 1.5022 | lr 1.50e-05 | 6997s
epoch 0 step 1890/5234 | loss 1.4253 | lr 1.50e-05 | 7035s
epoch 0 step 1900/5234 | loss 1.4269 | lr 1.49e-05 | 7072s
epoch 0 step 1910/5234 | loss 1.3012 | lr 1.49e-05 | 7110s
epoch 0 step 1920/5234 | loss 1.4923 | lr 1.48e-05 | 7144s
epoch 0 step 1930/5234 | loss 1.2172 | lr 1.48e-05 | 7180s
epoch 0 step 1940/5234 | loss 1.2338 | lr 1.47e-05 | 7218s
epoch 0 step 1950/5234 | loss 1.2793 | lr 1.47e-05 | 7257s
epoch 0 step 1960/5234 | loss 1.2978 | lr 1.46e-05 | 7293s
epoch 0 step 1970/5234 | loss 1.2405 | lr 1.46e-05 | 7331s
epoch 0 step 1980/5234 | loss 1.3762 | lr 1.45e-05 | 7369s
epoch 0 step 1990/5234 | loss 1.2989 | lr 1.45e-05 | 7406s
epoch 0 step 2000/5234 | loss 1.4631 | lr 1.44e-05 | 7441s
체크포인트 저장: checkpoints/sft_1b/latest.pt (step 2000)
epoch 0 step 2010/5234 | loss 1.4440 | lr 1.44e-05 | 7478s
epoch 0 step 2020/5234 | loss 1.5805 | lr 1.43e-05 | 7515s
epoch 0 step 2030/5234 | loss 1.5049 | lr 1.43e-05 | 7552s
epoch 0 step 2040/5234 | loss 1.2703 | lr 1.42e-05 | 7589s
epoch 0 step 2050/5234 | loss 1.2444 | lr 1.42e-05 | 7627s
epoch 0 step 2060/5234 | loss 1.3342 | lr 1.41e-05 | 7664s
epoch 0 step 2070/5234 | loss 1.4748 | lr 1.41e-05 | 7703s
epoch 0 step 2080/5234 | loss 1.2376 | lr 1.40e-05 | 7739s
epoch 0 step 2090/5234 | loss 1.3283 | lr 1.40e-05 | 7776s
epoch 0 step 2100/5234 | loss 1.5085 | lr 1.39e-05 | 7813s
epoch 0 step 2110/5234 | loss 1.2144 | lr 1.39e-05 | 7851s
epoch 0 step 2120/5234 | loss 1.4113 | lr 1.38e-05 | 7889s
epoch 0 step 2130/5234 | loss 1.4632 | lr 1.37e-05 | 7928s
epoch 0 step 2140/5234 | loss 1.5096 | lr 1.37e-05 | 7966s
epoch 0 step 2150/5234 | loss 1.3091 | lr 1.36e-05 | 8003s
epoch 0 step 2160/5234 | loss 1.1017 | lr 1.36e-05 | 8043s
epoch 0 step 2170/5234 | loss 1.3464 | lr 1.35e-05 | 8078s
epoch 0 step 2180/5234 | loss 1.3990 | lr 1.35e-05 | 8116s
epoch 0 step 2190/5234 | loss 1.2521 | lr 1.34e-05 | 8155s
epoch 0 step 2200/5234 | loss 1.2556 | lr 1.34e-05 | 8190s
epoch 0 step 2210/5234 | loss 1.4112 | lr 1.33e-05 | 8227s
epoch 0 step 2220/5234 | loss 1.3275 | lr 1.33e-05 | 8264s
epoch 0 step 2230/5234 | loss 1.5027 | lr 1.32e-05 | 8302s
epoch 0 step 2240/5234 | loss 1.5797 | lr 1.32e-05 | 8336s
epoch 0 step 2250/5234 | loss 0.9402 | lr 1.31e-05 | 8373s
epoch 0 step 2260/5234 | loss 1.2614 | lr 1.31e-05 | 8411s
epoch 0 step 2270/5234 | loss 1.3685 | lr 1.30e-05 | 8448s
epoch 0 step 2280/5234 | loss 1.4389 | lr 1.30e-05 | 8484s
epoch 0 step 2290/5234 | loss 1.1959 | lr 1.29e-05 | 8522s
epoch 0 step 2300/5234 | loss 1.4202 | lr 1.29e-05 | 8558s
epoch 0 step 2310/5234 | loss 1.2414 | lr 1.28e-05 | 8596s
epoch 0 step 2320/5234 | loss 1.2121 | lr 1.27e-05 | 8632s
epoch 0 step 2330/5234 | loss 1.6276 | lr 1.27e-05 | 8668s
epoch 0 step 2340/5234 | loss 1.2595 | lr 1.26e-05 | 8705s
epoch 0 step 2350/5234 | loss 1.3404 | lr 1.26e-05 | 8742s
epoch 0 step 2360/5234 | loss 1.2631 | lr 1.25e-05 | 8778s
epoch 0 step 2370/5234 | loss 1.3822 | lr 1.25e-05 | 8814s
epoch 0 step 2380/5234 | loss 1.4141 | lr 1.24e-05 | 8854s
epoch 0 step 2390/5234 | loss 1.3312 | lr 1.24e-05 | 8891s
epoch 0 step 2400/5234 | loss 1.3613 | lr 1.23e-05 | 8927s
epoch 0 step 2410/5234 | loss 1.2656 | lr 1.23e-05 | 8964s
epoch 0 step 2420/5234 | loss 1.4405 | lr 1.22e-05 | 9000s
epoch 0 step 2430/5234 | loss 1.3931 | lr 1.22e-05 | 9039s
epoch 0 step 2440/5234 | loss 1.3090 | lr 1.21e-05 | 9078s
epoch 0 step 2450/5234 | loss 1.1459 | lr 1.20e-05 | 9115s
epoch 0 step 2460/5234 | loss 1.4111 | lr 1.20e-05 | 9153s
epoch 0 step 2470/5234 | loss 1.2854 | lr 1.19e-05 | 9193s
epoch 0 step 2480/5234 | loss 1.3571 | lr 1.19e-05 | 9232s
epoch 0 step 2490/5234 | loss 1.2514 | lr 1.18e-05 | 9269s
epoch 0 step 2500/5234 | loss 1.0792 | lr 1.18e-05 | 9306s
체크포인트 저장: checkpoints/sft_1b/latest.pt (step 2500)
epoch 0 step 2510/5234 | loss 1.3984 | lr 1.17e-05 | 9346s
epoch 0 step 2520/5234 | loss 1.2366 | lr 1.17e-05 | 9385s
epoch 0 step 2530/5234 | loss 1.4006 | lr 1.16e-05 | 9421s
epoch 0 step 2540/5234 | loss 1.3146 | lr 1.16e-05 | 9459s
epoch 0 step 2550/5234 | loss 1.3017 | lr 1.15e-05 | 9497s
epoch 0 step 2560/5234 | loss 1.3218 | lr 1.14e-05 | 9531s
epoch 0 step 2570/5234 | loss 1.2979 | lr 1.14e-05 | 9569s
epoch 0 step 2580/5234 | loss 1.2839 | lr 1.13e-05 | 9606s
epoch 0 step 2590/5234 | loss 1.2354 | lr 1.13e-05 | 9644s
epoch 0 step 2600/5234 | loss 1.3029 | lr 1.12e-05 | 9682s
epoch 0 step 2610/5234 | loss 1.2983 | lr 1.12e-05 | 9720s
=== epoch 0 종료 | val loss 1.3149 ===
epoch 1 step 2620/5234 | loss 1.3617 | lr 1.11e-05 | 9788s
epoch 1 step 2630/5234 | loss 1.1781 | lr 1.11e-05 | 9827s
epoch 1 step 2640/5234 | loss 1.0656 | lr 1.10e-05 | 9865s
epoch 1 step 2650/5234 | loss 1.0227 | lr 1.10e-05 | 9901s
epoch 1 step 2660/5234 | loss 0.8905 | lr 1.09e-05 | 9938s
epoch 1 step 2670/5234 | loss 0.9938 | lr 1.08e-05 | 9975s
epoch 1 step 2680/5234 | loss 0.9838 | lr 1.08e-05 | 10011s
epoch 1 step 2690/5234 | loss 0.9534 | lr 1.07e-05 | 10050s
epoch 1 step 2700/5234 | loss 1.0264 | lr 1.07e-05 | 10085s
epoch 1 step 2710/5234 | loss 0.9628 | lr 1.06e-05 | 10123s
epoch 1 step 2720/5234 | loss 1.0199 | lr 1.06e-05 | 10161s
epoch 1 step 2730/5234 | loss 0.9727 | lr 1.05e-05 | 10199s
epoch 1 step 2740/5234 | loss 0.9847 | lr 1.05e-05 | 10236s
epoch 1 step 2750/5234 | loss 0.8293 | lr 1.04e-05 | 10276s
epoch 1 step 2760/5234 | loss 0.8828 | lr 1.04e-05 | 10311s
epoch 1 step 2770/5234 | loss 0.9996 | lr 1.03e-05 | 10350s
epoch 1 step 2780/5234 | loss 0.9647 | lr 1.02e-05 | 10386s
epoch 1 step 2790/5234 | loss 0.9517 | lr 1.02e-05 | 10423s
epoch 1 step 2800/5234 | loss 0.9719 | lr 1.01e-05 | 10460s
epoch 1 step 2810/5234 | loss 0.9228 | lr 1.01e-05 | 10495s
epoch 1 step 2820/5234 | loss 0.8991 | lr 1.00e-05 | 10535s
epoch 1 step 2830/5234 | loss 0.9457 | lr 9.98e-06 | 10571s
epoch 1 step 2840/5234 | loss 1.0502 | lr 9.92e-06 | 10609s
epoch 1 step 2850/5234 | loss 0.9994 | lr 9.87e-06 | 10645s
epoch 1 step 2860/5234 | loss 0.7921 | lr 9.81e-06 | 10683s
epoch 1 step 2870/5234 | loss 1.0043 | lr 9.76e-06 | 10721s
epoch 1 step 2880/5234 | loss 0.7830 | lr 9.71e-06 | 10757s
epoch 1 step 2890/5234 | loss 0.9764 | lr 9.65e-06 | 10795s
epoch 1 step 2900/5234 | loss 1.0122 | lr 9.60e-06 | 10833s
epoch 1 step 2910/5234 | loss 0.8788 | lr 9.54e-06 | 10872s
epoch 1 step 2920/5234 | loss 0.9497 | lr 9.49e-06 | 10907s
epoch 1 step 2930/5234 | loss 0.8746 | lr 9.44e-06 | 10945s
epoch 1 step 2940/5234 | loss 0.9804 | lr 9.38e-06 | 10983s
epoch 1 step 2950/5234 | loss 0.9481 | lr 9.33e-06 | 11021s
epoch 1 step 2960/5234 | loss 1.1292 | lr 9.28e-06 | 11058s
epoch 1 step 2970/5234 | loss 0.9293 | lr 9.22e-06 | 11093s
epoch 1 step 2980/5234 | loss 0.8893 | lr 9.17e-06 | 11129s
epoch 1 step 2990/5234 | loss 0.8731 | lr 9.12e-06 | 11166s
epoch 1 step 3000/5234 | loss 0.9281 | lr 9.06e-06 | 11202s
체크포인트 저장: checkpoints/sft_1b/latest.pt (step 3000)
epoch 1 step 3010/5234 | loss 0.8843 | lr 9.01e-06 | 11241s
epoch 1 step 3020/5234 | loss 0.8599 | lr 8.96e-06 | 11278s
epoch 1 step 3030/5234 | loss 0.8966 | lr 8.90e-06 | 11317s
epoch 1 step 3040/5234 | loss 0.8221 | lr 8.85e-06 | 11355s
epoch 1 step 3050/5234 | loss 0.9520 | lr 8.80e-06 | 11391s
epoch 1 step 3060/5234 | loss 0.9954 | lr 8.74e-06 | 11427s
epoch 1 step 3070/5234 | loss 1.1045 | lr 8.69e-06 | 11465s
epoch 1 step 3080/5234 | loss 0.9413 | lr 8.64e-06 | 11503s
epoch 1 step 3090/5234 | loss 0.7744 | lr 8.59e-06 | 11541s
epoch 1 step 3100/5234 | loss 0.9165 | lr 8.53e-06 | 11578s
epoch 1 step 3110/5234 | loss 0.9979 | lr 8.48e-06 | 11617s
epoch 1 step 3120/5234 | loss 1.0201 | lr 8.43e-06 | 11654s
